F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DC54211,2022,Control,CONCON,6,-0.9141479326644292,DC54211_2022_FK43A_54,3,0
DC54211,2022,Control,CONCON,6,-0.9141479326644292,DC54211_2022_FK43A_54,4,0
DC54211,2022,Control,CONCON,6,-0.9141479326644292,DC54211_2022_FK43A_54,5,0
DC54211,2022,Control,CONCON,6,-0.9141479326644292,DC54211_2022_FK43A_54,6,0
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,1,1
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,2,1
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,3,1
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,4,1
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,5,1
DC54203,2022,Control,CONCON,6,-0.9141479326644292,DC54203_2022_FO11B_46,6,0
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,1,1
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,2,1
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,3,1
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,4,1
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,5,1
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,6,0
DC57100,2022,Control,CONCON,7,0.6811298321813386,DC57100_2022_FO11C_46,7,0
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,1,1
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,2,1
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,3,1
DC54206,2022,Control,CONEXP,6,-0.9141479326644292,DC54206_2022_FO11D_46,4,1
