F_RING,YEAR,SEX,EXP.INC,EXP.NEST,GROUP,D2_MASS,D8_MASS,D12_MASS,D12_RTARS,Early.g,Late.g,Growth,D12_SMI,D12_SURV,BS_sc,incubation_temperature_sc,nestling_temperature_sc
DC54223,2022,M,Heated,Control,EXPCON,3.41,12.6,14.3,16.8,1.5316666666666665,0.42500000000000027,1.089,14.399813262022027,1,-0.6895999267206288,-0.15966082229936285,1.278544484731835
DC54223,2022,M,Heated,Control,EXPCON,3.9,12.9,14.9,17.3,1.5,0.5,1.1,13.83623238085818,1,-0.6895999267206288,-0.15966082229936285,1.278544484731835
DC54223,2022,M,Heated,Control,EXPCON,3.6,11.8,14,16.6,1.366666666666667,0.5499999999999998,1.04,14.571984389084852,1,-0.6895999267206288,-0.15966082229936285,1.278544484731835
DC54223,2022,F,Heated,Control,EXPCON,3.82,11.9,13.1,16.9,1.3466666666666667,0.2999999999999998,0.9279999999999999,12.976907943211717,1,-0.6895999267206288,-0.15966082229936285,1.278544484731835
DC54223,2022,F,Heated,Control,EXPCON,3.07,NA,NA,NA,NA,NA,NA,NA,0,-0.6895999267206288,-0.15966082229936285,1.278544484731835
DC54224,2022,F,Heated,Control,EXPCON,2.4,9.7,10,15.3,1.2166666666666666,0.07500000000000018,0.76,13.038861521739669,1,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54224,2022,F,Heated,Control,EXPCON,3.4,11.3,11.5,16.3,1.3166666666666667,0.04999999999999982,0.8099999999999999,12.588418869258145,1,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54224,2022,F,Heated,Control,EXPCON,2.7,10,10.5,16.5,1.2166666666666666,0.125,0.78,11.112964722098008,1,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54224,2022,M,Heated,Control,EXPCON,2.7,9.7,NA,NA,1.1666666666666665,NA,NA,NA,0,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54224,2022,M,Heated,Control,EXPCON,3,12.3,12.4,16.5,1.55,0.02499999999999991,0.9400000000000001,13.123882148001456,1,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54224,2022,F,Heated,Control,EXPCON,2.9,9.3,10.3,16.1,1.0666666666666667,0.25,0.74,11.66605267935906,1,0.16755728556554597,0.04363006656484813,1.4076497043054428
DC54221,2022,M,Control,Control,CONCON,3.4,13.1,13.7,17,1.6166666666666665,0.1499999999999999,1.0299999999999998,13.351855150179649,1,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DC54221,2022,F,Control,Control,CONCON,2.3,11.8,13.7,17.2,1.5833333333333333,0.47499999999999964,1.14,12.927302682471634,1,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DC54221,2022,F,Control,Control,CONCON,2.8,NA,NA,NA,NA,NA,NA,NA,0,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DC54221,2022,F,Control,Control,CONCON,4.1,13.7,14.5,17.9,1.5999999999999999,0.20000000000000018,1.04,12.254371863175303,1,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DC54221,2022,F,Control,Control,CONCON,4.5,13.1,14.2,17.9,1.4333333333333333,0.2749999999999999,0.97,12.000833134971675,1,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DC54221,2022,F,Control,Control,CONCON,4.4,NA,NA,NA,NA,NA,NA,NA,0,0.16755728556554597,-0.28427057013658974,1.3557269495841744
DA78533,2022,F,Control,Heated,CONEXP,3.2,12.8,14.9,16.7,1.6000000000000003,0.5249999999999999,1.17,15.253534852976799,1,-0.6895999267206288,-0.6101111224550484,1.380285010728811
DA78533,2022,F,Control,Heated,CONEXP,3.1,13.4,15.2,17.8,1.7166666666666668,0.44999999999999973,1.21,13.046337326284464,1,-0.6895999267206288,-0.6101111224550484,1.380285010728811
DA78533,2022,M,Control,Heated,CONEXP,2.9,13.4,15.3,18.2,1.75,0.4750000000000001,1.24,12.35013296064661,1,-0.6895999267206288,-0.6101111224550484,1.380285010728811
DA78533,2022,M,Control,Heated,CONEXP,3.2,12.7,14.8,17.5,1.5833333333333333,0.5250000000000004,1.1600000000000001,13.313785798401494,1,-0.6895999267206288,-0.6101111224550484,1.380285010728811
DA78533,2022,F,Control,Heated,CONEXP,2.6,12.4,14.6,17.6,1.6333333333333335,0.5499999999999998,1.2,12.928729144572182,1,-0.6895999267206288,-0.6101111224550484,1.380285010728811
DC54919,2022,F,Control,Control,CONCON,2,13.7,12.9,17,1.95,-0.19999999999999973,1.09,12.57218477644653,1,-2.403914351292978,0.026503138324928628,1.3227489820219906
