response,response_label,model_name,term,estimate,std_error,statistic,p_value
D8_MASS,Day-8 body mass,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,0.2966319235414265,0.49309055257559653,0.6015769760584682,0.5474557585454151
D12_MASS,Day-12 body mass,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,0.6487371875970975,0.456105985300981,1.4223386855338034,0.15492795351258087
Early.g,Early growth,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,0.03612027190597662,0.07822433294822392,0.46175237991334933,0.6442589036964472
Late.g,Late growth,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,-0.016382025948501435,0.09628817303839803,-0.17013539079164552,0.8649036614082316
Growth,Whole-period growth,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,0.04333899219981575,0.04982070675376927,0.8698991849716556,0.38435550091359094
D12_SMI,Day-12 scaled mass index,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,0.73682471150875,0.4198290336133511,1.7550589704744946,0.07924922142565542
D12_RTARS,Day-12 tarsus length,interaction_gaussian,EXP.INCHeated:EXP.NESTHeated,-0.02612773484395496,0.18793848316081513,-0.13902280365643896,0.889432129314615
D12_SURV,Day-12 survival,interaction_binomial,EXP.INCHeated:EXP.NESTHeated,0.2921733478635978,1.859849270490888,0.15709517566790865,0.8751698396351075
