candidate_model,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,ICC,RMSE,Sigma,response,response_label,n_observations
..1,glmmTMB,2690.492985029845,0.6930994132291975,2690.6809745859805,0.6981074453967404,2727.7158892646717,0.9585558496928481,0.6665940652483437,0.02156526028713057,0.6592456080928839,0.9845891183120095,1.084494707618174,D8_MASS,Day-8 body mass,775
..2,glmmTMB,2692.12228416741,0.3069005867708025,2692.3575782850567,0.3018925546032595,2733.99805143159,0.04144415030715194,0.6665734393898307,0.022898132640652328,0.6587596731226537,0.9845589282685991,1.0844356658533705,D8_MASS,Day-8 body mass,775
