candidate_model,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,RMSE,Sigma,Log_loss,Score_log,Score_spherical,response,response_label,n_observations
surv_additive,glmmTMB,566.5674924013676,0.7285467225960025,566.6954924013677,0.7321663351441476,600.0507688055953,0.9670393360862763,NA,0.019002804917166716,0.21091576944012738,1,0.13591499333137058,-Inf,0.004209889334819266,D12_SURV,Day-12 survival,883
surv_interaction,glmmTMB,568.5420158512638,0.27145327740399744,568.7067755766643,0.26783366485585236,606.8086174560955,0.03296066391372364,NA,0.021054932035162857,0.2109168365498941,1,0.13591827832816128,-Inf,0.004272390993606047,D12_SURV,Day-12 survival,883
