response,response_label,model_name,selected_model,term,estimate,std_error,statistic,p_value
D2_MASS,Day-2 body mass,gaussian_mean,TRUE,(Intercept),3.1889341696243214,0.06671696653620969,47.79794908531359,0
D2_MASS,Day-2 body mass,gaussian_mean,TRUE,EXP.INCHeated,-0.009708899199410304,0.08014581508652642,-0.12114043869824588,0.9035797995665948
D2_MASS,Day-2 body mass,gaussian_mean,TRUE,incubation_temperature_sc,0.14743959158475525,0.04929170475546805,2.991164381840525,0.00277915845511434
D2_MASS,Day-2 body mass,gaussian_mean,TRUE,SEXM,-0.02308196141479882,0.039840649890135096,-0.5793570506116197,0.5623482778977714
D2_MASS,Day-2 body mass,gaussian_mean,TRUE,BS_sc,0.072712379076238,0.03938338008878646,1.8462706581383863,0.06485291592922733
D2_MASS,Day-2 body mass,gaussian_scale,FALSE,(Intercept),3.1895675516774653,0.06690662993186916,47.67192062917223,0
D2_MASS,Day-2 body mass,gaussian_scale,FALSE,EXP.INCHeated,-0.009760791970536559,0.0801453908776692,-0.1217885628062511,0.9030664720782402
D2_MASS,Day-2 body mass,gaussian_scale,FALSE,incubation_temperature_sc,0.14753636662771372,0.049154694187217775,3.001470542483391,0.002686790334521988
D2_MASS,Day-2 body mass,gaussian_scale,FALSE,SEXM,-0.024232223250672327,0.039804035368079214,-0.6087881046881323,0.5426648992143984
D2_MASS,Day-2 body mass,gaussian_scale,FALSE,BS_sc,0.07252280856119792,0.03934757603802437,1.8431328143597447,0.06530962132445217
D2_MASS,Day-2 body mass,student_mean,FALSE,(Intercept),3.2329401605015096,0.06687105819390002,48.345880083536926,0
D2_MASS,Day-2 body mass,student_mean,FALSE,EXP.INCHeated,-0.024561681214393543,0.0830891780415106,-0.29560626056648137,0.7675307919689338
D2_MASS,Day-2 body mass,student_mean,FALSE,incubation_temperature_sc,0.14369650411572746,0.04453591948400812,3.2265305349163333,0.0012530086149997713
D2_MASS,Day-2 body mass,student_mean,FALSE,SEXM,-0.03937249391803345,0.03864975602140224,-1.0186996755226863,0.30834556668764546
