response,response_label,model_name,model_family,dispersion_formula,AIC,delta_AIC,selected_model
D12_RTARS,Day-12 tarsus length,student_mean,Student-t,~ 1,1061.5433969073958,0,FALSE
D12_RTARS,Day-12 tarsus length,student_scale,Student-t,~EXP.INC + EXP.NEST,1063.6065087196669,2.0631118122710177,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_scale,Gaussian,~EXP.INC + EXP.NEST,1089.7091050868162,28.165708179420335,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_mean,Gaussian,~ 1,1091.8141906813548,30.270793773958985,TRUE
