response,response_label,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
D8_MASS,Day-8 body mass,EXP.INC,1.0077754343448433,1.0000007636732149,80.16655719292336,1.0038801892381597,0.9922845565789187,0.012474029508258266,0.9999992363273682
D8_MASS,Day-8 body mass,EXP.NEST,1.0054471961247984,1.0000000110044283,2697.364151825395,1.002719899136742,0.9945823150675709,3.7073229408912667e-4,0.999999988995572
D8_MASS,Day-8 body mass,incubation_temperature_sc,1.5886417571617126,1.4532641256991512,1.7644529946859584,1.2604133279054583,0.6294685353018874,0.5667478833449924,0.6881061620639054
D8_MASS,Day-8 body mass,nestling_temperature_sc,1.3014994857368025,1.207080955104898,1.4389681313451037,1.1408328035855222,0.7683445218066158,0.6949424231273491,0.828444849345749
D8_MASS,Day-8 body mass,SEX,1.0036776851854479,1.0000000000144726,934545.2588963268,1.001837155023434,0.996335790623094,1.0700391345208615e-6,0.9999999999855274
D8_MASS,Day-8 body mass,BS_sc,1.1834076360558339,1.108327817954434,1.3105237564901246,1.0878454099989732,0.8450173630220005,0.7630536989869023,0.9022601289983253
D8_MASS,Day-8 body mass,incubation_temperature_sc:nestling_temperature_sc,1.716494885330742,1.5636576585592112,1.9107743200320315,1.3101507109225037,0.5825825690166945,0.5233480424748624,0.6395261741124474
D12_MASS,Day-12 body mass,EXP.INC,1.0093168853641434,1.0000030058516862,29.878455077695627,1.004647642392169,0.9907691177079812,0.03346893262719275,0.999996994157349
D12_MASS,Day-12 body mass,EXP.NEST,1.0055375752803744,1.000000008181694,3748.969499796492,1.0027649651241184,0.9944929205864531,2.6673996682402557e-4,0.999999991818306
D12_MASS,Day-12 body mass,incubation_temperature_sc,2.6698261596181503,2.379372654585306,3.0214402497223474,1.6339602686779597,0.3745562220961324,0.33096798789646564,0.42027884874313104
D12_MASS,Day-12 body mass,nestling_temperature_sc,2.645166977548446,2.3581060835293837,2.9929035123546233,1.6263969311175073,0.3780479676662246,0.3341237015734144,0.42406913199736007
D12_MASS,Day-12 body mass,SEX,1.0026072949380862,1.0000000000000013,5341100154.9703045,1.0013027988266516,0.9973994853705436,1.8722734473897162e-10,0.9999999999999988
D12_MASS,Day-12 body mass,BS_sc,1.1966263171283715,1.1167806433282956,1.331064356948094,1.0939041626798809,0.8356827738836385,0.7512784748386105,0.8954309926251416
D12_MASS,Day-12 body mass,incubation_temperature_sc:nestling_temperature_sc,4.172419065143306,3.6758307554144944,4.76116565089923,2.0426500104382312,0.23966911865446908,0.21003259985527545,0.2720473456311886
Early.g,Early growth,EXP.INC,1.0079248112501586,1.0000008293987224,76.72067772047346,1.0039545862488795,0.9921374975973364,0.01303429570374015,0.9999991706019656
