response,response_label,n,contrast,odds.ratio,SE,df,null,z.ratio,p.value,estimate
Growth,Whole-period growth,666,CONEXP - EXPEXP,NA,0.03513012037741485,Inf,NA,0.19208970652628815,0.9974891712165708,0.006748134513530794
Growth,Whole-period growth,666,EXPCON - EXPEXP,NA,0.034604349499539284,Inf,NA,-0.43263974736818933,0.9728712028456591,-0.014971217025321205
D12_SMI,Scaled mass index at day 12,681,CONCON - CONEXP,NA,0.29750394525813123,Inf,NA,0.8115546902709585,0.8490473156146738,0.24144072214835088
D12_SMI,Scaled mass index at day 12,681,CONCON - EXPCON,NA,0.29834141071775744,Inf,NA,0.9861929072434258,0.757339694161631,0.2942221831868502
D12_SMI,Scaled mass index at day 12,681,CONCON - EXPEXP,NA,0.29180538838122927,Inf,NA,-0.6893703858169486,0.9012019528717269,-0.20116199317183256
D12_SMI,Scaled mass index at day 12,681,CONEXP - EXPCON,NA,0.30221383971899474,Inf,NA,0.17464938431534666,0.9981083323732086,0.05278146103849929
D12_SMI,Scaled mass index at day 12,681,CONEXP - EXPEXP,NA,0.29579742224461464,Inf,NA,-1.49630349027912,0.4396919360795768,-0.44260271532018347
D12_SMI,Scaled mass index at day 12,681,EXPCON - EXPEXP,NA,0.29618850751287606,Inf,NA,-1.6725300401371823,0.33827388426642646,-0.4953841763586827
D12_RTARS,Tarsus length at day 12,682,CONCON - CONEXP,NA,0.1333063038200892,Inf,NA,-0.34641077667000775,0.9857232117477617,-0.04617874024132512
D12_RTARS,Tarsus length at day 12,682,CONCON - EXPCON,NA,0.13366552596389375,Inf,NA,1.0528043904430149,0.7182349439844764,0.14072365258566213
D12_RTARS,Tarsus length at day 12,682,CONCON - EXPEXP,NA,0.13068927483641085,Inf,NA,0.9233522933760847,0.7923541850736997,0.1206722416398574
D12_RTARS,Tarsus length at day 12,682,CONEXP - EXPCON,NA,0.13547821490164139,Inf,NA,1.3795752546834217,0.5121883322402161,0.18690239282698726
D12_RTARS,Tarsus length at day 12,682,CONEXP - EXPEXP,NA,0.1324635650112237,Inf,NA,1.2595990593114805,0.5887708893374358,0.16685098188118253
D12_RTARS,Tarsus length at day 12,682,EXPCON - EXPEXP,NA,0.13255670001741385,Inf,NA,-0.15126667262515284,0.9987674292008214,-0.020051410945804732
D12_SURV,Survival to day 12,885,CONCON / CONEXP,1.10873276812952,1.4383941434184937,Inf,1,0.07956154505280814,0.9998195386667833,NA
D12_SURV,Survival to day 12,885,CONCON / EXPCON,1.4215085252967357,1.9327417130305578,Inf,1,0.2586848803329711,0.9939361363522684,NA
D12_SURV,Survival to day 12,885,CONCON / EXPEXP,1.176749656753491,1.5183940946213932,Inf,1,0.12613536682942864,0.9992834832621156,NA
D12_SURV,Survival to day 12,885,CONEXP / EXPCON,1.2821020232809406,1.7225661996557031,Inf,1,0.18495867024511875,0.9977562961207905,NA
D12_SURV,Survival to day 12,885,CONEXP / EXPEXP,1.0613465125042876,1.3523477594934104,Inf,1,0.04672679002684671,0.9999633859751487,NA
D12_SURV,Survival to day 12,885,EXPCON / EXPEXP,0.8278175162599521,1.1025473121887506,Inf,1,-0.14187735863830064,0.9989819505342368,NA
