response,response_label,Term,VIF,VIF_CI_low,VIF_CI_high,SE_factor,Tolerance,Tolerance_CI_low,Tolerance_CI_high
D8_MASS,Day-8 body mass,EXP.INC,1.0077715137348975,1.0000007689444912,79.54458471286323,1.0038782365082417,0.9922884169387806,0.012571566041984616,0.9999992310561
D8_MASS,Day-8 body mass,EXP.NEST,1.0054454965251314,1.0000000111444134,2661.8338469842242,1.0027190516416506,0.9945839963041744,3.756808491758301e-4,0.9999999888555867
D8_MASS,Day-8 body mass,incubation_temperature_sc,1.5965813863266116,1.460267125941216,1.7732669366372202,1.2635590157672145,0.6263382553273927,0.5639308889931571,0.684806212668418
D8_MASS,Day-8 body mass,nestling_temperature_sc,1.3026888222736062,1.2081904555945442,1.440080323892542,1.1413539425934474,0.7676430340859777,0.6944057101599699,0.8276840752792616
D8_MASS,Day-8 body mass,SEX,1.0037350349450234,1.0000000000202354,689412.7672149055,1.0018657769107713,0.9962788636293561,1.4505098361317081e-6,0.9999999999797646
D8_MASS,Day-8 body mass,BS_sc,1.1833037184289348,1.1083167288771576,1.310203728807028,1.0877976459015413,0.8450915723713722,0.7632400809227768,0.9022691564108267
D8_MASS,Day-8 body mass,incubation_temperature_sc:nestling_temperature_sc,1.7255522676552029,1.5716629084418108,1.920868024365082,1.3136027815345104,0.5795246071328037,0.5205979730598811,0.6362687537058612
D12_MASS,Day-12 body mass,EXP.INC,1.0094143965567033,1.0000033330294382,27.59168308310981,1.0046961712660716,0.990673407681902,0.03624280537681834,0.9999966669816709
D12_MASS,Day-12 body mass,EXP.NEST,1.0054784536137187,1.000000007148577,4199.521446789506,1.0027354853667634,0.9945513963088628,2.3812237005349512e-4,0.999999992851423
D12_MASS,Day-12 body mass,incubation_temperature_sc,2.6855936791637722,2.393343972518032,3.039141882605082,1.6387781055297792,0.3723571468604943,0.3290402484081537,0.41782544067324434
D12_MASS,Day-12 body mass,nestling_temperature_sc,2.6413224255621377,2.3551553258718,2.987919209866301,1.6252145783133185,0.3785982318259293,0.33468107059184726,0.4246004452508173
D12_MASS,Day-12 body mass,SEX,1.0026204039302062,1.0000000000000016,4480716607.655201,1.0013093447732355,0.9973864446405295,2.2317858672238344e-10,0.9999999999999984
D12_MASS,Day-12 body mass,BS_sc,1.1962992852677725,1.1165991229677392,1.3304776949934674,1.0937546732552839,0.8359112241517105,0.7516097442016193,0.89557655870458
D12_MASS,Day-12 body mass,incubation_temperature_sc:nestling_temperature_sc,4.186101676477413,3.688280848979083,4.776109886996102,2.0459964996249167,0.2388857407881922,0.20937541716171493,0.27112902757304946
Early.g,Early growth,EXP.INC,1.0079282839694343,1.0000008432370235,75.5433193145275,1.0039563157674911,0.9921340792836857,0.013237437924013662,0.9999991567636876
Early.g,Early growth,EXP.NEST,1.0042568119965742,1.0000000001916292,94561.01717315216,1.0021261457504111,0.9957612316434168,1.0575182352035029e-5,0.999999999808371
Early.g,Early growth,incubation_temperature_sc,1.4212766319890764,1.3082771329681704,1.575696286491622,1.192173071323571,0.7035927964287292,0.6346400690113685,0.7643640439783865
Early.g,Early growth,nestling_temperature_sc,1.1723044667229197,1.0986985375084695,1.3008031324691316,1.0827300987424888,0.8530207197754841,0.7687558363284693,0.9101677720147974
Early.g,Early growth,SEX,1.0028089875376927,1.0000000000000222,354687259.733581,1.0014035088503,0.9971988807713124,2.819385169772204e-9,0.9999999999999778
Early.g,Early growth,BS_sc,1.1805069208789662,1.1053624785984042,1.3092443241525908,1.0865113533134232,0.8470937207682215,0.7637993776656244,0.9046806087248379
Early.g,Early growth,incubation_temperature_sc:nestling_temperature_sc,1.4437945568364665,1.3275599010543662,1.6012750890561136,1.2015800251487483,0.6926193171077777,0.6245023149579247,0.7532616789689011
Late.g,Late growth,EXP.INC,1.0140602862676429,1.0000630565472366,4.135148665629236,1.0070056038908834,0.986134664321198,0.24182927407468002,0.9999369474286408
Late.g,Late growth,EXP.NEST,1.002853099362364,1.0000000000000138,596269887.3977796,1.0014255336081481,0.9971550176549505,1.6770929089915398e-9,0.9999999999999863
Late.g,Late growth,incubation_temperature_sc,1.734097781002136,1.5725046816279524,1.9413015637529216,1.3168514650491665,0.5766687501451616,0.5151183199310886,0.6359281544171552
Late.g,Late growth,nestling_temperature_sc,1.1505049440539203,1.0794229543097538,1.2852039234945947,1.0726159350177118,0.8691835747149412,0.7780866380184264,0.926420914070202
Late.g,Late growth,SEX,1.003683772587472,1.0000000000060858,2229808.27935938,1.001840193138343,0.9963297477870192,4.484690496742161e-7,0.9999999999939142
Late.g,Late growth,BS_sc,1.0826267573045232,1.029122357372821,1.2344309196971865,1.0404935162241633,0.9236793689542242,0.8100898835597103,0.9717017542528513
Late.g,Late growth,incubation_temperature_sc:nestling_temperature_sc,1.6883449192555227,1.5332409633444826,1.8885640084608377,1.299363274552395,0.5922960341782241,0.5295028368220311,0.6522132032128103
Growth,Whole-period growth,EXP.INC,1.0077493344078143,1.0000004379868692,138.1095528028705,1.003867189626105,0.9923102559900294,0.007240628759600298,0.9999995620133226
Growth,Whole-period growth,EXP.NEST,1.0035107664217298,1.000000000001768,6971589.830798066,1.0017538452243295,0.9965015159386398,1.4343930498927904e-7,0.9999999999982321
Growth,Whole-period growth,incubation_temperature_sc,2.7499636232429316,2.444358903770868,3.1202297259209075,1.6583014271364938,0.3636411738496877,0.32048922285837755,0.40910522528312765
Growth,Whole-period growth,nestling_temperature_sc,2.6842161629899386,2.3877806489749687,3.043971492016182,1.638357764039936,0.3725482372798559,0.32851818836767344,0.41879893801354073
Growth,Whole-period growth,SEX,1.0022919126157024,1,370118312571.5398,1.0011453004512894,0.9977133282361611,2.701838752727781e-12,1
Growth,Whole-period growth,BS_sc,1.194601448752547,1.114220230463451,1.3315500564386271,1.092978247154328,0.8370992694209789,0.7510044366447679,0.8974886406290237
Growth,Whole-period growth,incubation_temperature_sc:nestling_temperature_sc,4.304765540535798,3.782925008275145,4.924459065708702,2.07479289099799,0.2323006887561021,0.20306798912462587,0.26434571074300994
D12_SMI,Day-12 scaled mass index,EXP.INC,1.010798939320882,1.0000099916186473,12.671491334045601,1.0053849707056906,0.9893164318829445,0.07891730922888396,0.999990008481184
D12_SMI,Day-12 scaled mass index,EXP.NEST,1.006371760278799,1.0000000509557552,797.7564988888363,1.0031808213272415,0.9936685819989287,0.0012535153287912548,0.9999999490442475
D12_SMI,Day-12 scaled mass index,incubation_temperature_sc,2.708790288485111,2.411837393148306,3.0682015253255885,1.6458402985967717,0.3691684824221846,0.32592383249463475,0.41462165021608033
D12_SMI,Day-12 scaled mass index,nestling_temperature_sc,2.62457331513483,2.339252189909162,2.9706807098274637,1.620053491442437,0.3810143135394287,0.3366231842728328,0.42748704236067514
D12_SMI,Day-12 scaled mass index,SEX,1.0047745207620824,1.0000000007910024,28820.192923054947,1.0023844176572592,0.9952481669634088,3.469789403109935e-5,0.9999999992089976
D12_SMI,Day-12 scaled mass index,BS_sc,1.2104210639853712,1.127805591931568,1.3464404295583818,1.1001913760729862,0.8261587886676811,0.7426990292678521,0.8866776394390117
D12_SMI,Day-12 scaled mass index,incubation_temperature_sc:nestling_temperature_sc,4.178152560821142,3.6788424634754766,4.770529188472549,2.0440529740740923,0.23934023122493822,0.20962035038301163,0.2718246323207001
D12_RTARS,Day-12 tarsus length,EXP.INC,1.010451191267327,1.0000077415901216,15.109168425346162,1.0052120130934206,0.9896569063823667,0.06618497933496226,0.9999922584698101
D12_RTARS,Day-12 tarsus length,EXP.NEST,1.0061366247812789,1.0000000317515612,1187.0255769204045,1.0030636195083933,0.9939008036978946,8.424418306085535e-4,0.9999999682484398
D12_RTARS,Day-12 tarsus length,incubation_temperature_sc,2.6985134102054555,2.403169546476747,3.056022247554939,1.6427152553639524,0.37057440449179146,0.32722274872183266,0.4161171239316368
D12_RTARS,Day-12 tarsus length,nestling_temperature_sc,2.6194059257213,2.334981495622463,2.9644283915998972,1.6184578850625988,0.38176595318063666,0.33733316103490074,0.4282689185652062
D12_RTARS,Day-12 tarsus length,SEX,1.003972942761793,1.0000000000294431,536094.3704971243,1.0019845022562939,0.9960427790505351,1.8653432213300292e-6,0.9999999999705569
D12_RTARS,Day-12 tarsus length,BS_sc,1.2104467998566097,1.127871859931919,1.3463455962356963,1.100203072099242,0.8261412233222151,0.7427513431885109,0.8866255427813956
D12_RTARS,Day-12 tarsus length,incubation_temperature_sc:nestling_temperature_sc,4.158113870166827,3.6618821217569217,4.746853827755962,2.0391453773987833,0.24049365438851708,0.21066585074787147,0.27308361294825445
D12_SURV,Day-12 survival,EXP.INC,1.0096850314906851,1.0000086501985046,11.843662712109456,1.0048308472029932,0.9904078686039485,0.08443333994791646,0.9999913498763208
D12_SURV,Day-12 survival,EXP.NEST,1.0182692384570442,1.000415047021621,1.8041620742073279,1.0090932753997741,0.9820585383834957,0.5542739282108884,0.9995851251709411
