candidate_model,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,RMSE,Sigma,response,response_label,n_observations
..1,glmmTMB,-538.9869738785032,0.3272359737838168,-538.6809933499915,0.3340643625899757,-493.05652853707886,0.8286101753751094,NA,0.3337253009693545,0.1126769057797458,0.1248572802923062,Early.g,Early growth,730
..2,glmmTMB,-540.428400069411,0.6727640262161831,-540.0607120471269,0.6659356374100244,-489.9049101938442,0.17138982462489066,NA,0.36961412313792336,0.11250462437534393,0.12465879320204697,Early.g,Early growth,730
