candidate_model,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,RMSE,Sigma,ICC,response,response_label,n_observations
..1,glmmTMB,2566.5122933690327,0.1822354352561542,2566.811613096924,0.18677572343421495,2612.65954937107,0.6912752067873007,0.6582475977805361,0.044171011833699404,0.969438980351944,1.0677674254984761,0.6424544490169785,D8_MASS,Day-8 body mass,746
..2,glmmTMB,2563.509743317816,0.8177645647438457,2563.8694163423393,0.8132242765657851,2614.2717249200577,0.30872479321269924,NA,0.19862582810204904,0.9681066460705118,1.0661744840196714,NA,D8_MASS,Day-8 body mass,746
