candidate_model,Model,AIC,AIC_wt,AICc,AICc_wt,BIC,BIC_wt,R2_conditional,R2_marginal,RMSE,Sigma,ICC,response,response_label,n_observations
..1,glmmTMB,2253.8221815831384,0.009477050378527287,2254.1505397920937,0.009793160689457988,2299.0578046446335,0.08412479569459813,0.5805806909905411,0.02526900887257123,0.9263650229882894,1.0200913854755203,0.5697076292564218,D12_SMI,Day-12 scaled mass index,681
..2,glmmTMB,2244.523461764624,0.9905229496214727,2244.9180805987044,0.9902068393105421,2294.2826471322683,0.9158752043054019,NA,0.17305446746680894,0.9281357871941682,1.02046624184347,NA,D12_SMI,Day-12 scaled mass index,681
